Fecha,Serie,TC, OC. CBI ,Referencia,Folio,Tequila,Tipo,Concepto,Cases,Botellas,Litros,Subtotal,Descuentos,Abonos,Total Cargos
2022-06-28,A,20.0465,CBITAL11/4500007536,CBITAL11/4500007536,17062,0,0,"CASES OF TEQUILA MI CAMPO BLANCO 100% DE AGAVE 1LT/6 40%ALC/VOL,&#xA;&#xA;ITEM(80072904)"" ValorUnitario=""43",1040.00,0,0,0,0,0,0
2022-06-28,A,20.0465,CBITAL11/4500007536,CBITAL11/4500007536,17062,0,0,"CASE OF TEQUILA MI CAMPO REPOSADO 100% DE AGAVE 1LT/6  40%ALC/VOL&#xA;&#xA;ITEM(80072900)&#xA;&#xA;PRODUCTO CONSIGNADO A:&#xA;CONSTELLATION BRANDS EUROPE TRADING SRL C/O GIORGIO GORI SRL VIA&#xA;MAZZANTA 1-LOC MAZZANTICA OPPEANO (VR)&#xA;37050, ITALY&#xA;TAX ID: 06892910487&#xA;&#xA;INSUMOS PROPIEDAD DEL CLIENTE"" ValorUnitario=""43",560.00,0,0,69168.00,0,0,69168.00
2022-06-27,A,20.0365,CBI81B/4501101187,CBI81B/4501101187,17063,0,0,"CASE OF TEQUILA CASA NOBLE CRYSTAL ""BLANCO"" 100% OF AGAVE 750ML/6  40%ALC/VOL",1740.00,0,0,73428.00,0,0,73428.00
2022-06-27,A,20.0365,CBIMC38G/4501524048,CBIMC38G/4501524048,17064,0,0,CAJAS DE TEQUILA MI CAMPO REPOSADO 100% DE AGAVE 750ML/12 40%ALC/VOL,960.00,0,0,64003.20,0,0,64003.20
2022-07-01,A,20.1443,CBIMC40O/4501737494,CBIMC40O/4501737494,17106,0,0,CAJAS DE TEQUILA MI CAMPO REPOSADO 100% DE AGAVE 750ML/12 40%ALC/VOL,240.00,0,0,63604.80,0,0,63604.80
2022-07-01,A,20.1443,CBIMC40O/4501737494,CBIMC40O/4501737494,17106,0,0,CASES OF TEQUILA MI CAMPO REPOSADO 100% OF AGAVE 1LT/6 40%ALC/VOL,1200.00,0,0,0,0,0,0
2022-07-04,A,20.1335,CBIMC38H/4501524049,CBIMC38H/4501524049,17109,0,0,CAJAS DE TEQUILA MI CAMPO REPOSADO 100% DE AGAVE 750ML/12 40%ALC/VOL,960.00,0,0,64003.20,0,0,64003.20
2022-07-04,A,20.1335,CBI081C/4501101192,CBI081C/4501101192,17111,0,0,"CASES OF TEQUILA CASA NOBLE BLANCO 100% OF AGAVE 750ML/6 40%ALC/VOL &#xA;&#xA;ITEM(80026620)&#xA;&#xA;INSUMOS PROPIEDAD DEL CLIENTE&#xA;&#xA;CONSIGNAR A:&#xA;CONSTELLATION BRANDS, INC",1740.00,0,0,73428.00,0,0,73428.00
2022-07-04,A,20.1335,CBI081D/4501101196,CBI081D/4501101196,17112,0,0,"CASES OF TEQUILA CASA NOBLE BLANCO 100% OF AGAVE 750ML/6 40%ALC/VOL&#xA;&#xA;ITEM(80026620)&#xA;&#xA;INSUMOS PROPIEDAD DEL CLIENTE&#xA;&#xA;CONSIGNAR A:&#xA;CONSTELLATION BRANDS, INC",1740.00,0,0,73428.00,0,0,73428.00
2022-07-07,A,20.5598,CBI079I/4501423400,CBI079I/4501423400,17137,0,0,CASES OF TEQUILA CASA NOBLE REPOSADO 100% OF AGAVE 750ML/6  40%ALC/VOL,1740.00,0,0,73062.60,0,0,73062.60
2022-07-12,A,20.4423,CBI080J/4501774607,CBI080J/4501774607,17150,0,0,CASES OF TEQUILA CASA NOBLE REPOSADO 100% OF AGAVE 750ML/6 40%ALC/VOL,1740.00,0,0,73062.60,0,0,73062.60
2022-07-12,A,20.4423,CBI081F/4501101273,CBI081F/4501101273,17151,0,0,CASES OF TEQUILA CASA NOBLE BLANCO 100% OF AGAVE 750ML/6 40%ALC/VOL,1740.00,0,0,73428.00,0,0,73428.00
